node_1,node_2,edge
Recommender Systems (RS),platform credibility,suffer from crisis of
Recommender Systems (RS),RS confidence,related to
Recommender Systems (RS),fairness,related to
ENSUR,prediction sets,dynamically generates
ENSUR,user fairness,ensures
ENSUR,statistical guarantees,provides
ENSUR,ground-truth items,includes with high confidence
GUFA,ENSUR,optimizes
GUFA,risk and fairness metrics,derives upper bounds of
ENSUR,minimum efficient average prediction set sizes,aims for
Recommender Systems,information filtering system,is a type of
Recommender Systems,model confidence,lacks attention to
model confidence,users’ trust,affects
recommendation approaches,model confidence,developed for
heuristic modeling,statistical guarantee,lacks
fairness,user experience,may harm
fairness,platform reliability,undermines
fairness-based recommendation models,fairness issues,alleviate
fairness-based recommendation models,statistical guarantees,lack
empirically validated,statistical guarantees,lacks
recommendation framework,model confidence,considers
recommendation framework,fairness,considers
set predictors,minimum prediction set,generates
set predictors,model confidence,guarantees
set predictors,user fairness,ensures
objectives,confidence level,includes
objectives,user fairness,includes
objectives,minimum average set size,includes
Risk-Controlling Prediction Sets (RCPS),coverage guarantees,ensures
Equitable and Statistically Unbiased Recommendation (ENSUR),Risk-Controlling Prediction Sets (RCPS),inspired by
Equitable and Statistically Unbiased Recommendation (ENSUR),fairness,guarantees
Equitable and Statistically Unbiased Recommendation (ENSUR),statistical guarantees,provides
