node_1,node_2,edge
Otter,tests from issues,generates
tests from issues,SWE patches,validates
TDD (test-driven development),tests from issues,supported by
SWE (software engineering) agents,tests from issues,validated by
TDD-Bench-Verified,tests from issues,benchmark for generating
Otter,LLM-based solution,is an
Otter,rule-based analysis,augments LLMs with
Otter,self-reflective action planner,introduces
Otter,state-of-the-art systems,outperforms
code patch,issue,resolves
software engineering (SWE) issue,bug report,is a type of
software engineering (SWE) issue,feature request,is a type of
bug report,reproduction test,resolved by writing
feature request,acceptance test,resolved by writing
reproduction test,test-driven development (TDD),is part of
acceptance test,test-driven development (TDD),is part of
test-driven development (TDD),code quality,improves
SWE-Bench,SWE issue resolution,spurs work on
SWE issue resolution,LLMs,uses
SWE issue resolution,agents,uses
agents,SWE agents,also known as
up-front tests,human SWE engineers,help
up-front tests,automated SWE agents,help
test generation,existing code,focuses on creating tests for
test generation,issue descriptions,does not focus on creating tests from
SWE-Agent+,test generation from issue descriptions,attempts
Otter,test generation,performs
Otter,issue description,takes as input
Otter,original code,takes as input
Otter,self-reflective action planner,contains
Otter,rule-based code analyses and transformations,uses
Otter,fail-to-pass tests,generates
Otter++,Otter,ensemble of size 5 of
Otter++,fail-to-pass tests,generates at higher rate
SWE-Agent+,test generation,attempts
SWE-Agent+,issue descriptions,creates tests from
SWE-Agent+,fail-to-pass tests,generates with limited success
SWE-bench Verified,automatically resolving SWE issues,benchmark for
new benchmark,automatically generating tests from issues,introduced for evaluating
