node_1,node_2,edge
Oversquashing,Graph Neural Networks (GNNs),is a problem experienced by
Oversquashing,effective resistance,analyzed through the lens of
effective resistance,nodes,captures strength of connection between
total effective resistance,oversquashing,bounds the total amount of
total effective resistance,rewiring strategies,used to develop
rewiring strategies,GNNs,improves performance of
message passing,Graph Neural Networks (GNNs),is a framework for
Graph Neural Networks (GNNs),message passing,major framework for
message passing,node features,aggregates
message passing,edge features,aggregates
message passing,node neighborhoods,aggregates locally through
number of layers,radius of neighborhood,defines
too few layers,underreaching,causes
too many layers,oversmoothing,causes
oversmoothing,node features,smoothes out and makes indistinguishable
large number of layers,oversquashing,can lead to
oversquashing,long-range interactions,information from gets compressed through bottlenecks
oversquashing,GNNs,negatively impacts training of
oversquashing,long-range interactions,caused by information from
oversquashing,graph bottlenecks,occurs due to
oversquashing,fixed-sized node vectors,results in information being squashed into
graph curvature,oversquashing,used to analyze
information theory,oversquashing,used to analyze
rewiring techniques,oversquashing,alleviate
effective resistance,oversquashing,proposed to analyze
effective resistance,Electrical Engineering,originates from
effective resistance,Graph Theory,applied in
effective resistance,graph properties,tied to
