node_1,node_2,edge
Generative Social Choice,committee elections,is similar to
Generative Social Choice,large language models,combines with
Generative Social Choice,social choice,combines with
Generative Social Choice,theoretical guarantees,provides
Generative Social Choice,approximately optimal queries,handles
Generative Social Choice,budget limit,operates under
slate of statements,user opinions,proportionally represents
Polis,statements,enables participants to submit
Polis,report,aggregates inputs into
report,subset of statements,highlights
subset of statements,salient viewpoints,captures
GPT-4o,queries,implements
city improvement measures,datasets,is part of
drug reviews,datasets,is part of
Polis,Remesh,closely related systems
Polis,collective response systems,is an example of
Remesh,collective response systems,is an example of
Polis,Taiwan,used in
Polis,Australia,used in
Remesh,United Nations,deployed by
Remesh,peacebuilding activities,used for
selecting a representative subset of statements,social choice problem,can be viewed as
selecting a representative subset of statements,committee elections,is an instance of
statements,candidates,play the role of
selection,representative,formalized using notions of proportionality
notions of proportionality,computational social choice literature,developed in
Fish et al. (2024),broader viewpoint,proposes
candidates,statements submitted by participants,restricted to
potential candidate,well-formed and reasonably concise statement,defined as
representative sets of statements,generating consensus statements,challenge includes
representative sets of statements,predicting preferences of participants,challenge includes
generating consensus statements,large language models (LLMs),addressed by
predicting preferences of participants,large language models (LLMs),addressed by
generative social choice,social choice theory,taps theoretical rigor of
generative social choice,large language models (LLMs),taps power of
generative social choice,two-step framework,is a
Step 1,democratic process,designs
democratic process,survey responses,converts
democratic process,representative slate of k statements,produces
Step 2,queries,implements and validates
queries,GPT-4o,realized by
LLM-based democratic process,slate of 5 statements,generated
slate of 5 statements,views of the US population,represents
slate of 5 statements,chatbot personalization,on the topic of
framework of Fish et al. (2024),AI supporting democratic innovation,provides vision for
