node_1,node_2,edge
Feature Shift Localization Network (FSL-Net),feature shifts,localizes
feature shifts,data sources,occur between
feature shifts,"healthcare, biomedical, socioeconomic, financial, survey, multi-sensor data",present in applications involving
feature shifts,"unharmonized heterogeneous data sources, noisy data measurements, inconsistent processing and standardization pipelines",caused by
localizing shifted features,underlying cause of the shift,addresses
localizing shifted features,downstream analysis,avoids degrading
FSL-Net,large and high-dimensional datasets,scalable to
FSL-Net,statistical properties of datasets,learns to extract
FSL-Net,previously unseen datasets and shifts,localizes without re-training
Feature distribution shifts,Multi-dimensional data,occur in
Feature distribution shifts,Corrupted features,composed of
Feature distribution shifts,Healthcare datasets,prevalent in
Feature distribution shifts,Biomedical datasets,prevalent in
Feature distribution shifts,Life sciences datasets,prevalent in
Feature distribution shifts,Clinical genomics,arise in
Feature distribution shifts,Social sciences,found in
Feature distribution shifts,Streaming applications,found in
Feature distribution shifts,E-business applications,found in
Heterogeneous data acquisition protocols,Clinical genomics,cause feature shifts in
Different organizations,Healthcare datasets,generate samples at
Different organizations,Biomedical datasets,generate samples at
Different organizations,Life sciences datasets,generate samples at
Lab technologies,Structural biases,produce
Hardware,Structural biases,produce
Data processing,Structural biases,produce
Genotyping arrays,Feature shifts,contribute to
Phenotype curation procedures,Feature shifts,contribute to
data homogenization,feature shifts,prevents or reduces
feature shifts,downstream applications,negatively impacts
feature shifts,erroneous scientific results,leads to
feature shifts,biased machine learning models,leads to
feature shift localization,feature shifts,identifies and enumerates
feature shift localization,error source,identifies and corrects
incorrect data collection procedures,feature shifts,causes
human entry errors,feature shifts,causes
faulty standardization,feature shifts,causes
erroneous data processing,feature shifts,causes
faulty sensors,feature shifts,causes
faulty measuring devices,feature shifts,causes
data homogenization,data-dependent techniques,requires
data homogenization,domain-specific techniques,requires
