node_1,node_2,edge
DiffMS,molecular structure generation,performs conditional de novo generation of
DiffMS,mass spectrum,generates molecules conditioned on
DiffMS,encoder-decoder generative network,is a type of
encoder,transformer architecture,utilizes
encoder,mass spectra domain knowledge,models
mass spectra domain knowledge,peak formulae,includes
mass spectra domain knowledge,neutral losses,includes
decoder,discrete graph diffusion model,is a
decoder,heavy-atom composition,restricted by
heavy-atom composition,chemical formula,derived from
diffusion decoder,fingerprint-structure pairs,pretrained with
fingerprint-structure pairs,structure-spectrum pairs,available in greater quantities than
DiffMS,existing models,outperforms
DiffMS,de novo molecule generation,achieves state-of-the-art performance on
DiffMS,diffusion approach,uses
DiffMS,pretraining approach,uses
DiffMS,pretraining dataset size,performance scales with
Mass spectrometry (MS),analytical chemistry,is part of
Mass spectrometry (MS),identification of unknown compounds,assists in
Tandem mass spectrometry (MS/MS),liquid chromatography (LC),used in combination with
Tandem mass spectrometry (MS/MS),high-throughput profiling of compounds,enables
LC-MS/MS,de novo structure generation,faces ambiguity in
isobaric compounds,similar fragmentation spectra,yield
isomeric compounds,similar fragmentation spectra,yield
leucine,isoleucine,have indistinguishable experimental spectra
retention time,chromatography,comes from
m/z (mass-to-charge ratio),first MS,measured in
retention time,chromatography,separated by
molecule m/z (mass-to-charge ratio),first MS (MS1) stage,separated in
precursor molecule,second MS stage (MS2),passed through
collision-induced dissociation,second MS stage (MS2),occurs in
precursor molecule,charged molecular fragments,split into
charged molecular fragments,m/z,has corresponding
charged molecular fragments,intensity,has corresponding
LC-MS/MS,discovery of new compounds,enabled
LC-MS/MS,novel bile acids,used to identify
LC-MS/MS,tire rubber-derived chemical,used to uncover
MS technologies,increased throughput,associated with
high-throughput analysis,chemical reactions,applied to
systematic discovery pipeline,human metabolites,used for
MS1 and MS2 data,elucidation of chemical structures,challenging for
yet-to-be-discovered metabolites,standard virtual chemical libraries,do not exist in
standard virtual chemical libraries,PubChem,includes
standard virtual chemical libraries,Human Metabolome Database,includes
DiffMS,de novo molecular generation,tackles
DiffMS,mass spectra,conditioned on
