node_1,node_2,edge
Lottery Ticket Hypothesis (LTH),sparse LTH mask,proposes existence of
sparse LTH mask,weights,combined with
sparse LTH mask and weights,dense model,achieve same generalization performance as
finding a LTH solution,computationally expensive,is
LTH mask,random weight initializations,does not generalize to
neural networks trained from random initialization,solutions within the same basin modulo permutation,find
method to align trained models,same loss basin,proposes
misalignment of basins,LTH masks not generalizing to new random initializations,hypothesized as reason for
proposed method,permuting the LTH mask,involves
permuted mask,new optimization basin,aligns with
sparse training from random initialization with permuted mask,sparse training with non-permuted LTH mask,shows significant increase in generalization compared to
foundation models,state-of-the-art results,achieve
increase in model size,memory and computational costs,requires exponential increase in
high memory and computational costs,accessibility of models,decreases
model compression methods,model size,reduce
pruning,model compression methods,is a type of
quantization,model compression methods,is a type of
knowledge distillation,model compression methods,is a type of
post-training model pruning,model size,compresses
post-training model pruning,inference efficiency,improves
model pruning,computational cost of training,does not reduce
training a sparse model,random initialization,motivated by goal of starting from
Lottery Ticket Hypothesis (LTH),sparse subnetworks,identifies
Lottery Ticket Hypothesis (LTH),dense model,requires training of
sparse subnetworks,dense model,can match performance of
LTH mask,random initialization,cannot be used with new
LTH mask,different random initialization,needs permutation to align with
weight-space symmetry,LTH,explains limitation of
winning ticket mask,optimization basin,must align with
optimization basin,new random initialization,associated with
