node_1,node_2,edge
ILLUME,vision-language models (VLM),tuning paradigm for
ILLUME,human interactions,based on
ILLUME,machine generated data,uses
vision-language models (VLM),pre-trained language models (LM),built on
ILLUME,rationalization capabilities,improves
human critic,preference selection,provides feedback via
preference selection,fine-tuning,used for
ILLUME,supervised fine-tuning,competitive with
ILLUME,training data,uses significantly fewer
ILLUME,minimal feedback,requires only
Language Models (LMs),human intent,not aligned with
Vision-Language Models (VLMs),Language Models (LMs),inherit misalignment from
human-in-the-loop learning scheme,misalignment gap,bridges
ILLUME fine-tuning scheme,reasoning capabilities,transfers from language models to vision-language models
VQA input,multiple rationales,sampled from VLM
annotator,fitting reasons,chooses
model,human preferences,fine-tuned to align with
direct user feedback,automatic reward systems,can be replaced by
automatic reward systems,expensive human labor,requires prior
feedback,automatic reward systems,can be replaced by
automatic reward systems,prior expensive human labor,could require
automatic reward systems,inherently limited,is
large-scale LMs,interactions on machine generated data,have capabilities inherent to
ILLUME,transfer of existing commonsense knowledge,achieves
ILLUME,alignment with human rationalization,achieves
ILLUME,downstream VLM,transfers commonsense knowledge to
model’s performance,machine generated samples,improves based on
machine generated samples,human feedback,selected by
human feedback,model,interactively aligns
ILLUME,rationalization capabilities,gradually carves out
ILLUME,latent capabilities,uncovers and reinforces
human feedback,labor-intense generation of ground truth data,balanced against
rationales,visual question-answering (VQA),targeted for
VQA,vision-language tasks,encompasses majority of
study,commonsense reasoning of three recent VLMs,evaluates
study,transfer of commonsense rationalization capabilities,analyzes
study,novel iterative tuning,introduces
