node_1,node_2,edge
Wide Convolutional Neural Networks,high-dimensional functions,can efficiently learn
Convolutional Neural Networks (CNNs),local and hierarchical structure,harness
local and hierarchical structure,"natural data (e.g., images)",characteristic of
infinitely-wide deep CNNs,kernel regime,studied in
kernel spectrum,hierarchical structure of the network,inherits
deep CNNs,spatial scale of the target function,adapt to
target function,low-dimensional subsets of adjacent input variables,depends on
error decay,effective dimensionality of these subsets,controlled by
target function,full set of input variables,depends on
error decay,input dimension,controlled by
deep CNN,output of another deep CNN with randomly-initialised parameters,trained on
infinitely-wide deep CNNs,functions,generate
functions,high dimension,are too rich to be efficiently learnable in
deep convolutional neural networks (CNNs),image classification,are successful in
image classification,approximation of functions,entails
approximation of functions,large number of variables,involves
learning a generic high-dimensional function,curse of dimensionality,is plagued by
curse of dimensionality,generalisation error,affects decay rate of
generalisation error,number of training samples,decays with
generalisation error,dimensionality of the input space,depends on
success of CNNs,classifying data,points to underlying structure in the task
CNNs,underlying structure in tasks,can leverage
understanding structure of learnable tasks,deep learning,fundamental problem in
structure of learnable tasks,number of examples required,determines
learnable tasks,local and hierarchical,hypothesized to be
features at any scale,sub-features of smaller scales,made of
deep CNNs,tasks with varying locality or hierarchical structure,trained on
over-parameterised regime,width of hidden layer diverges,characterized by
network output,kernel method output,converges to
deep networks in real scenarios,over-parameterised regime,do not generally operate in
kernel regression theory,decay of generalisation error,provides recipe for computing
