node_1,node_2,edge
ETHER,Efficient Finetuning of Large-Scale Models with Hyperplane Reflections,is the title of the paper
Parameter-efficient finetuning (PEFT),foundation models,adapts
ETHER transformation family,Hyperplane Reflections,performs finetuning via
ETHER,LoRA,uses significantly fewer parameters (10-100 times lower)
ETHER,OFT,uses significantly fewer parameters (10-100 times lower)
ETHER+,ETHER,is a relaxation of
ETHER,hyperparameter tuning,exhibits robustness to
Hyperspherical Energy retention,adaptation,is investigated for
large-scale foundation models,general-purpose capabilities,demonstrate
large-scale foundation models,generative tasks,perform
large-scale foundation models,discriminative tasks,perform
large-scale foundation models,parameter counts,have increasing
model adaptation,full finetuning,includes
model adaptation,few layers of the pretrained model,includes
full finetuning,pretrained model,applied to
full finetuning,pretrained model,applied to
full finetuning,few layers of the pretrained model,ranges from
few layers of the pretrained model,pretrained model,part of
concatenating additional learning modules,pretrained model,applied to
adapters on the network weights,pretrained model,applied to
adapters on the network weights,lightweight learnable transformations,uses
adapters on the network weights,inference latency,introduces no
adapters on the network weights,adaptation parameters,has fewer
adapters on the network weights,performance,has strong
finetuning methods,smaller datasets,finetune on
finetuning methods,downstream task,adapt to
finetuning methods,pretrained weights,avoids overwriting
overwriting pretrained weights,concept and semantic drifts,causes
overwriting pretrained weights,catastrophic forgetting,leads to
trade-off,adaptation,between
trade-off,retention of foundational model capabilities,between
trade-off,tuning of hyperparameters,requires
tuning of hyperparameters,learning rates,includes
preserving Euclidean weight distances,pretrained models,between
preserving Euclidean weight distances,finetuned models,between
