node_1,node_2,edge
Lifelong Language Pretraining,Distribution-Specialized Experts,uses
Pretraining,large-scale corpus,performed on
Pretraining,general language models,builds
Adapting a model,new data distributions,targets
Naive fine-tuning,catastrophic forgetting,may cause
Catastrophic forgetting,over-parameterized LMs,occurs when
Lifelong learning,continuous data stream,learns from
Lifelong learning,static fixed network architecture,assumes
Additional model capacity,strong LLL performance,key element for
Proper regularization,strong LLL performance,key element for
Lifelong-MoE,Mixture-of-Experts architecture,is an
Lifelong-MoE,adding experts,dynamically adds model capacity via
Adding experts,regularized pretraining,with
Lifelong-MoE,data distribution shifts,adapts to
Lifelong-MoE,previous knowledge,preserves
Lifelong-MoE,existing lifelong learning approaches,outperforms
Lifelong-MoE,19 downstream NLP tasks,achieves better few-shot performance on
Language models (LMs),word embeddings/vectors,evolved from
Language models (LMs),recurrent neural networks,evolved from
Language models (LMs),self-attention-based Transformer networks,evolved to
Transformer networks,natural language processing (NLP) tasks,used in
scaling up pretraining data and large models,inference on complicated NLP tasks,enables
BERT,few-shot or zero-shot generalization,demonstrates
GPT-3,few-shot or zero-shot generalization,demonstrates
Lifelong-MoE method,pretraining,used during
Lifelong-MoE method,catastrophic forgetting,avoids
GPT-3,few-shot generalization,demonstrates
GPT-3,zero-shot generalization,demonstrates
GPT-3,downstream corpus,generalizes on
GLaM,mixture-of-experts architecture,uses
GLaM,model capacity,scales
GLaM,training cost,reduces compared to dense variants
pretraining large language models,downstream tasks,adapted to
pretraining dataset,downstream task,drawn from same distribution
large LMs,downstream tasks,performance relies on pretraining quality
new language corpus,streaming online fashion,emerges in
new data distributions,pretraining dataset,collected to keep up-to-date
sequentially pretraining LMs,catastrophic forgetting,causes
